Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Num_of_Delayed_Payment,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Simulated_Credit_Score
31,612708987,Lawyer,73928.46,5988.705,4,5,8,0,No Data,7,Good,548.2,31.58098967,390,0.0,42.63559025,High_spent_Large_value_payments,796.2349097,743
33,411510676,Lawyer,131313.4,11242.78333,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",3,Good,352.16,32.200509,367,137.6446054,86.56638801,High_spent_Medium_value_payments,858.4624744,727
34,411510676,Lawyer,131313.4,11242.78333,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",2,Good,352.16,31.98371001,368,137.6446054,86.56638801,High_spent_Small_value_payments,547.7604572,733
34,411510676,Lawyer,131313.4,10469.20776,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",3,Good,352.16,31.8031345,369,911.2201793,86.56638801,High_spent_Large_value_payments,1038.569407,729
34,411510676,Lawyer,131313.4,10469.20776,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",2,Good,352.16,42.6457849,370,911.2201793,86.56638801,High_spent_Medium_value_payments,899.1987716,726
34,411510676,Lawyer,131313.4,10469.20776,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",4,Good,352.16,40.90251715,371,911.2201793,86.56638801,High_spent_Large_value_payments,963.254819,719
34,411510676,Lawyer,131313.4,10469.20776,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",3,Good,352.16,41.98016961,372,911.2201793,86.56638801,High_spent_Large_value_payments,1140.06734,724
34,411510676,Lawyer,131313.4,10469.20776,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",2,Good,352.16,26.94756515,373,911.2201793,86.56638801,High_spent_Medium_value_payments,326.2418302,741
34,411510676,Lawyer,131313.4,10469.20776,0,1,8,2,"Credit-Builder Loan, and Mortgage Loan",2,Good,352.16,29.18791265,374,911.2201793,86.56638801,Low_spent_Medium_value_payments,396.1113462,720
30,500926408,Media_Manager,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",11,Standard,1704.18,24.44806275,176,70.47833267,29.32636371,Low_spent_Large_value_payments,298.1921581,424
30,500926408,Media_Manager,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",14,Standard,1704.18,35.17116002,176,70.47833267,29.32636371,High_spent_Large_value_payments,392.1961846,420
30,500926408,Media_Manager,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",14,Standard,1704.18,35.11155247,177,70.47833267,29.32636371,Low_spent_Large_value_payments,260.9124018,401
30,500926408,Media_Manager,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",14,Standard,1704.18,29.76215931,178,70.47833267,29.32636371,Low_spent_Small_value_payments,260.0809754,407
30,500926408,Media_Manager,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",14,Standard,1704.18,30.20621422,179,70.47833267,29.32636371,High_spent_Large_value_payments,397.2283547,428
30,500926408,Media_Manager,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",14,Standard,1704.18,31.17087232,180,70.47833267,29.32636371,High_spent_Medium_value_payments,410.6743661,428
30,500926408,Media_Manager,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",11,Standard,1704.18,38.43850508,181,70.47833267,29.32636371,High_spent_Small_value_payments,395.1733867,439
30,500926408,Media_Manager,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",14,Standard,1704.18,33.82348834,182,70.47833267,29.32636371,High_spent_Medium_value_payments,411.3068036,429
23,70191622,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,Good,1377.74,33.66455429,256,226.8927919,212.2356022,High_spent_Small_value_payments,802.3004421,557
23,70191622,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",8,Good,1377.74,27.62632549,257,226.8927919,212.2356022,High_spent_Large_value_payments,785.2583559,578
23,70191622,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,Good,1377.74,35.1415673,258,226.8927919,212.2356022,High_spent_Small_value_payments,547.1081624,558
23,70191622,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",14,Good,1377.74,30.45903184,259,226.8927919,212.2356022,High_spent_Small_value_payments,772.4119086,549
23,70191622,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,Good,1377.74,29.81918663,260,226.8927919,212.2356022,High_spent_Small_value_payments,367.6845939,564
24,70191622,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",14,Good,1377.74,26.11421387,261,226.8927919,212.2356022,High_spent_Small_value_payments,491.1133876,554
24,70191622,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,Good,1377.74,31.76751565,262,226.8927919,212.2356022,High_spent_Medium_value_payments,792.0256603,566
24,70191622,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,Good,1377.74,27.81335364,263,226.8927919,212.2356022,High_spent_Large_value_payments,742.9221908,570
44,366681681,Journalist,31370.8,2825.233333,0,5,12,2,"Not Specified, and Payday Loan",0,Good,421.43,29.51935256,318,46.61612907,22.29805714,High_spent_Small_value_payments,341.5544232,681
44,366681681,Journalist,31370.8,2825.233333,1,6,12,2,"Not Specified, and Payday Loan",0,Good,421.43,28.22048096,318,46.61612907,22.29805714,Low_spent_Small_value_payments,227.1627349,661
44,366681681,Journalist,31370.8,2825.233333,1,6,12,2,"Not Specified, and Payday Loan",0,Good,421.43,31.04641791,319,46.61612907,22.29805714,Low_spent_Medium_value_payments,375.0865083,661
44,366681681,Journalist,31370.8,2825.233333,1,6,12,2,"Not Specified, and Payday Loan",0,Good,421.43,30.1680304,320,46.61612907,22.29805714,Low_spent_Small_value_payments,292.3016778,662
44,366681681,Journalist,31370.8,2825.233333,1,6,12,2,"Not Specified, and Payday Loan",0,Good,421.43,25.18923173,321,46.61612907,22.29805714,Low_spent_Small_value_payments,341.2066326,668
44,366681681,Journalist,31370.8,2825.233333,1,6,12,2,"Not Specified, and Payday Loan",0,Good,421.43,25.50246855,322,46.61612907,22.29805714,Low_spent_Medium_value_payments,378.1897794,669
45,366681681,Journalist,31370.8,2825.233333,1,6,12,2,"Not Specified, and Payday Loan",2,Good,421.43,22.76220217,323,46.61612907,22.29805714,Low_spent_Small_value_payments,337.5123038,662
45,366681681,Journalist,31370.8,2825.233333,1,6,12,2,"Not Specified, and Payday Loan",2,Good,421.43,37.56505277,324,46.61612907,22.29805714,Low_spent_Small_value_payments,273.2623771,651
40,221308554,Teacher,33751.27,2948.605833,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",20,Standard,1328.93,37.08907565,230,65.00817429,25.19256191,High_spent_Medium_value_payments,362.5457119,457
40,221308554,Teacher,33751.27,2948.605833,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",20,Standard,1328.93,30.90808063,231,65.00817429,25.19256191,High_spent_Large_value_payments,399.7213311,463
40,221308554,Teacher,33751.27,2948.605833,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",20,Standard,1328.93,38.03072168,232,65.00817429,25.19256191,Low_spent_Large_value_payments,229.6698268,438
40,221308554,Teacher,33751.27,2948.605833,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",22,Standard,1328.93,23.40441278,233,65.00817429,25.19256191,High_spent_Large_value_payments,444.6598471,461
40,221308554,Teacher,33751.27,2948.605833,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",20,Standard,1328.93,29.07375818,234,65.00817429,25.19256191,Low_spent_Small_value_payments,276.5227243,448
40,221308554,Teacher,33751.27,2948.605833,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",20,Standard,1328.93,32.78263673,235,65.00817429,25.19256191,High_spent_Medium_value_payments,406.9923272,466
40,221308554,Teacher,33751.27,2948.605833,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",20,Standard,1328.93,35.58400505,236,65.00817429,25.19256191,Low_spent_Small_value_payments,444.4252395,445
41,221308554,Teacher,33751.27,2948.605833,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",17,Standard,1328.93,31.13948358,237,65.00817429,25.19256191,High_spent_Large_value_payments,443.8827971,485
32,342902649,Engineer,88640.24,7266.686667,3,6,1,2,"Payday Loan, and Payday Loan",0,Good,950.36,28.21061721,305,135.173371,77.84134311,High_spent_Large_value_payments,732.5635317,682
33,342902649,Engineer,88640.24,7266.686667,3,6,1,2,"Payday Loan, and Payday Loan",2,Good,950.36,41.03616828,306,135.173371,77.84134311,High_spent_Large_value_payments,674.3205074,662
33,342902649,Engineer,88640.24,7266.686667,3,6,1,2,"Payday Loan, and Payday Loan",0,Good,950.36,34.67019438,307,135.173371,77.84134311,High_spent_Medium_value_payments,543.3063842,678
33,342902649,Engineer,88640.24,7266.686667,3,6,1,2,"Payday Loan, and Payday Loan",2,Good,950.36,31.82853557,308,135.173371,77.84134311,Low_spent_Small_value_payments,86.63611983,651
33,342902649,Engineer,88640.24,7266.686667,3,6,1,2,"Payday Loan, and Payday Loan",2,Good,950.36,34.70283693,309,135.173371,77.84134311,High_spent_Medium_value_payments,561.8766736,671
33,342902649,Engineer,88640.24,7266.686667,3,6,1,2,"Payday Loan, and Payday Loan",0,Good,950.36,38.32363895,310,135.173371,77.84134311,Low_spent_Small_value_payments,195.3690791,658
33,342902649,Engineer,88640.24,7266.686667,3,6,1,2,"Payday Loan, and Payday Loan",2,Good,950.36,25.9791728,311,135.173371,77.84134311,High_spent_Large_value_payments,667.4204738,680
33,342902649,Engineer,88640.24,7266.686667,3,6,1,2,"Payday Loan, and Payday Loan",2,Good,950.36,30.87079911,312,135.173371,77.84134311,High_spent_Large_value_payments,733.0533444,678
35,414532918,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",8,Standard,179.22,25.64924607,322,124.3920824,33.34956859,Low_spent_Large_value_payments,378.5404802,622
35,414532918,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,Standard,179.22,29.40877528,323,124.3920824,33.34956859,High_spent_Medium_value_payments,459.5240535,631
35,414532918,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",11,Standard,179.22,31.25892847,324,124.3920824,33.34956859,High_spent_Large_value_payments,558.926349,626
35,414532918,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",7,Standard,179.22,27.19258741,325,124.3920824,33.34956859,Low_spent_Small_value_payments,147.4336899,629
35,414532918,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",8,Standard,179.22,34.59532446,326,124.3920824,33.34956859,Low_spent_Small_value_payments,409.1574722,620
35,414532918,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",8,Standard,179.22,23.1950254,327,124.3920824,33.34956859,Low_spent_Small_value_payments,7.129357074,630
36,414532918,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",8,Standard,179.22,35.11253199,328,124.3920824,33.34956859,Low_spent_Large_value_payments,464.1635141,622
36,414532918,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",8,Standard,179.22,32.87880507,329,124.3920824,33.34956859,Low_spent_Small_value_payments,147.1580197,625
39,328336328,Manager,8701.545,519.12875,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",9,Standard,2602.69,24.52316385,107,36.54819717,13.06620992,Low_spent_Large_value_payments,272.2984679,340
39,328336328,Manager,8701.545,519.12875,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",9,Standard,2602.69,39.9025176,108,36.54819717,13.06620992,Low_spent_Large_value_payments,250.6495139,329
39,328336328,Manager,8701.545,519.12875,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",9,Standard,2602.69,36.47591386,109,36.54819717,13.06620992,Low_spent_Large_value_payments,239.7137023,333
39,328336328,Manager,8701.545,519.12875,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",7,Standard,2602.69,32.09749228,110,36.54819717,13.06620992,Low_spent_Small_value_payments,284.974494,347
39,328336328,Manager,8701.545,519.12875,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",9,Standard,2602.69,37.16937449,111,36.54819717,13.06620992,Low_spent_Small_value_payments,254.8777256,334
39,328336328,Manager,8701.545,519.12875,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",6,Standard,2602.69,28.57003141,112,36.54819717,13.06620992,Low_spent_Medium_value_payments,242.4330644,357
39,328336328,Manager,8701.545,519.12875,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",9,Standard,2602.69,38.46541541,113,36.54819717,13.06620992,Low_spent_Medium_value_payments,264.8928715,336
39,328336328,Manager,8701.545,519.12875,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",9,Standard,2602.69,28.81553706,114,36.54819717,13.06620992,Low_spent_Small_value_payments,264.7720511,345
36,655057666,Entrepreneur,25546.26,2415.855,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",14,Standard,758.44,37.41820917,218,101.3286374,19.35620844,High_spent_Medium_value_payments,337.1522635,470
37,655057666,Entrepreneur,25546.26,2415.855,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",13,Standard,758.44,29.71137554,219,101.3286374,19.35620844,Low_spent_Small_value_payments,129.933631,462
37,655057666,Entrepreneur,25546.26,2415.855,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",10,Standard,758.44,25.41361674,220,101.3286374,19.35620844,Low_spent_Large_value_payments,319.0402759,482
37,655057666,Entrepreneur,25546.26,2415.855,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",10,Standard,758.44,35.94627822,221,101.3286374,19.35620844,High_spent_Medium_value_payments,306.5421121,495
37,655057666,Entrepreneur,25546.26,2415.855,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",13,Standard,758.44,28.27742001,222,101.3286374,19.35620844,Low_spent_Small_value_payments,118.2575152,467
37,655057666,Entrepreneur,25546.26,2415.855,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",10,Standard,758.44,34.58659949,223,101.3286374,19.35620844,High_spent_Small_value_payments,338.5261142,498
37,655057666,Entrepreneur,25546.26,2415.855,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",14,Standard,758.44,30.09906724,224,101.3286374,19.35620844,Low_spent_Small_value_payments,299.9564689,463
37,655057666,Entrepreneur,25546.26,2415.855,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",13,Standard,758.44,39.3334879,225,101.3286374,19.35620844,Low_spent_Medium_value_payments,230.4410013,462
30,965462491,Scientist,31993.78,2942.148333,6,6,7,2,"Payday Loan, and Home Equity Loan",14,Standard,818.22,25.36959679,202,45.14129822,23.2710222,Low_spent_Medium_value_payments,447.0747001,452
30,965462491,Scientist,31993.78,2942.148333,6,6,7,2,"Payday Loan, and Home Equity Loan",14,Standard,818.22,37.95856941,203,45.14129822,23.2710222,Low_spent_Small_value_payments,157.8698035,442
31,965462491,Scientist,31993.78,2942.148333,6,6,7,2,"Payday Loan, and Home Equity Loan",14,Standard,818.22,27.38010905,204,45.14129822,23.2710222,Low_spent_Small_value_payments,274.8164466,452
30,965462491,Scientist,31993.78,2942.148333,6,6,7,2,"Payday Loan, and Home Equity Loan",14,Standard,818.22,34.15826212,205,45.14129822,23.2710222,Low_spent_Medium_value_payments,376.6212092,448
30,965462491,Scientist,31993.78,2942.148333,6,6,7,2,"Payday Loan, and Home Equity Loan",14,Standard,818.22,30.7880388,206,45.14129822,23.2710222,High_spent_Medium_value_payments,455.6031264,472
31,965462491,Scientist,31993.78,2942.148333,6,6,7,2,"Payday Loan, and Home Equity Loan",14,Standard,818.22,34.28096872,207,45.14129822,23.2710222,High_spent_Small_value_payments,396.3496477,471
31,965462491,Scientist,31993.78,2942.148333,6,6,7,2,"Payday Loan, and Home Equity Loan",16,Standard,818.22,29.50345427,208,45.14129822,23.2710222,High_spent_Small_value_payments,404.5162989,466
31,965462491,Scientist,31993.78,2942.148333,6,6,7,2,"Payday Loan, and Home Equity Loan",16,Standard,818.22,36.01279377,209,45.14129822,23.2710222,Low_spent_Large_value_payments,421.4853319,442
20,891559364,Accountant,92047.08,7591.59,6,7,16,0,No Data,11,Standard,1296.64,37.11561494,350,0.0,59.28557023,High_spent_Large_value_payments,854.5248769,647
20,891559364,Accountant,92047.08,7591.59,6,7,16,0,No Data,11,Standard,1296.64,39.46775837,351,0.0,59.28557023,Low_spent_Medium_value_payments,328.6636193,625
20,891559364,Accountant,92047.08,7591.59,6,7,16,0,No Data,11,Standard,1296.64,27.79278836,352,0.0,59.28557023,High_spent_Large_value_payments,823.7133773,657
20,891559364,Accountant,92047.08,7591.59,6,7,16,0,No Data,11,Standard,1296.64,42.94468168,353,0.0,59.28557023,High_spent_Large_value_payments,878.2514462,646
20,891559364,Accountant,92047.08,7591.59,6,7,16,0,No Data,8,Standard,1296.64,34.35765024,354,0.0,59.28557023,High_spent_Large_value_payments,920.4396545,669
